mass8_4
t	x	y
0	98.16	32.882
0.064	95.114	26.974
0.128	92.088	21.218
0.192	89.151	15.824
0.272	86.092	10.374
0.336	83.168	4.931
0.4	80.203	-0.129
0.464	77.254	-5.117
0.528	74.332	-10.039
0.608	71.398	-14.765
0.672	68.75	-19.006
0.736	66.068	-23.314
0.8	63.149	-27.772
0.864	60.22	-31.933
0.944	57.439	-35.976
1.008	54.847	-39.36
1.072	51.985	-43.1
1.136	49.156	-46.612
1.2	46.214	-50.008
1.264	43.278	-53.139
1.344	40.446	-56.175
1.408	37.497	-59.127
1.472	34.509	-61.829
1.536	31.739	-64.137
1.6	28.924	-66.464
1.68	26.014	-68.601
1.744	23.01	-70.648
1.808	20.052	-72.504
1.872	17.024	-74.161
1.936	13.918	-75.801
2	10.907	-77.158
2.08	7.46	-78.527
2.144	4.227	-79.604
2.208	1.067	-80.302
2.272	-2.409	-81.237
2.336	-5.849	-81.973
2.416	-9.381	-82.367
2.48	-12.898	-82.907
2.544	-16.207	-82.269
2.608	-23.175	-80.688
2.672	-37.25	-75.106
2.736	-50.225	-67.853
2.816	-68.018	-59.313
2.88	-86.598	-50.234
2.944	-95.723	-46.611
3.008	-101.991	-43.831
3.072	-108.461	-40.818
3.152	-111.684	-34.286
3.216	-100.917	-19.616
3.28	-90.626	-5.961
3.344	-80.255	8.323
3.408	-69.794	21.828
3.472	-59.694	35.769
3.552	-49.576	49.593
3.616	-39.647	63.744
3.68	-29.759	77.873
3.744	-20.823	91.822
3.808	-17.351	103.741
