mass8_18
t	x	y
4.08	-145.723	-102.042
4.144	-127.037	-95.248
4.208	-108.837	-90.152
4.288	-91.365	-85.298
4.352	-73.407	-79.474
4.416	-58.362	-74.135
4.48	-44.287	-70.981
4.544	-30.698	-70.738
4.624	-19.292	-72.437
4.688	-7.644	-74.378
4.752	1.577	-75.592
4.816	11.527	-77.048
4.88	21.476	-78.261
4.96	30.455	-78.504
5.024	40.89	-78.989
5.088	50.354	-79.717
5.152	58.605	-80.688
5.216	68.797	-79.96
5.28	79.232	-80.202
5.36	87.968	-79.717
5.424	95.976	-79.717
5.488	105.925	-79.232
5.552	114.904	-78.261
5.616	123.397	-77.29
5.695	131.891	-76.562
5.76	139.656	-75.834
5.824	148.635	-74.621
