mass8_30
t	x	y
6.96	-137.715	4.975
7.024	-115.389	11.769
7.088	-92.578	16.866
7.167	-75.349	18.564
7.231	-61.031	15.652
7.295	-47.199	14.196
7.36	-33.124	12.497
7.424	-19.778	11.041
7.488	-9.1	9.585
7.567	-3.033	6.431
7.632	0.121	2.791
7.695	3.519	-1.335
7.76	5.945	-4.004
7.824	9.585	-7.401
7.903	11.769	-8.857
7.967	14.439	-11.769
8.032	17.594	-14.681
8.095	19.292	-16.38
8.16	22.447	-18.564
8.224	24.874	-20.748
8.303	26.815	-21.719
8.367	29.727	-24.146
8.432	32.639	-26.572
8.495	34.338	-27.058
8.56	36.522	-28.271
8.639	44.044	-26.572
8.703	55.935	-22.69
8.767	66.37	-19.778
8.832	78.261	-14.681
8.895	90.394	-7.644
8.975	100.344	-1.577
9.039	110.293	12.255
9.103	119.029	25.359
9.167	124.853	30.212
9.231	125.824	17.836
9.295	127.037	3.519
9.375	130.677	-3.033
9.439	136.016	-0.607
9.503	142.811	2.791
9.567	147.907	4.004
9.632	154.216	7.887
