mass8_34
t	x	y
8.303	63.701	-110.779
8.367	79.717	-105.197
8.432	95.49	-99.13
8.495	111.992	-93.306
8.56	124.611	-88.453
8.639	123.883	-80.445
8.703	120.243	-71.709
8.767	115.389	-61.031
8.832	110.536	-51.325
8.895	106.411	-42.346
8.975	102.77	-35.308
9.039	99.858	-32.639
9.103	98.888	-30.94
9.167	96.704	-28.028
9.231	93.549	-25.116
9.295	88.696	-19.292
9.375	84.085	-12.983
9.439	77.533	-5.945
9.503	71.223	0.849
9.567	65.157	8.372
9.632	59.818	15.167
9.711	54.237	22.932
9.775	48.17	31.183
9.839	42.346	38.948
9.903	35.066	47.442
9.967	28.756	56.421
10.032	22.447	64.429
10.111	16.623	72.437
10.175	8.857	81.901
10.239	2.791	90.88
10.303	-4.489	98.645
10.367	-10.799	107.381
10.447	-17.836	116.117
