mass8_32
t	x	y
8.032	-103.498	-94.034
8.095	-88.538	-87.13
8.16	-74.924	-80.919
8.224	-60.664	-74.09
8.303	-47.627	-67.86
8.367	-34.122	-61.13
8.432	-20.626	-54.049
8.495	-7.502	-47.217
8.56	4.576	-40.831
8.639	16.094	-35.016
8.703	15.367	-34.702
8.767	18.124	-32.904
8.832	20.868	-31.218
8.895	23.559	-29.171
8.975	25.333	-26.762
9.039	30.94	-27.058
9.103	38.151	-30.774
9.167	44.463	-33.32
9.231	50.577	-35.708
9.295	56.564	-37.947
9.375	62.654	-39.887
9.439	67.871	-41.964
9.503	61.533	-46.683
9.567	51.205	-51.752
9.632	40.608	-57.133
9.711	29.825	-62.292
9.775	18.879	-67.26
9.839	7.867	-72.133
9.903	-2.536	-76.24
9.967	-13.916	-80.803
10.032	-24.64	-85.11
10.111	-36.586	-89.821
10.175	-48.04	-94.138
10.239	-59.72	-97.97
10.303	-70.636	-101.204
10.367	-80.989	-102.347
