mass8_7
t	x	y
0.8	-114.661	-91.608
0.864	-103.752	-77.408
0.944	-92.687	-62.694
1.008	-82.734	-49.42
1.072	-72.646	-35.542
1.136	-61.827	-20.397
1.2	-51.607	-5.994
1.264	-41.722	8.406
1.344	-32.625	21.548
1.408	-22.661	36.511
1.472	-12.793	51.623
1.536	-7.362	58.18
1.6	-6.792	57.405
1.68	-5.565	57.086
1.744	-4.571	56.986
1.808	-3.556	56.976
1.872	-2.575	57.082
1.936	-1.691	57.305
2	-0.777	57.511
2.08	0.144	57.881
2.144	0.703	58.364
2.208	1.34	59.039
2.272	2.193	59.693
2.336	2.572	60.537
2.416	3.25	61.518
2.48	3.601	62.528
2.544	4.204	63.396
2.608	4.278	63.512
2.672	4.287	63.504
2.736	4.278	63.576
2.816	4.258	63.728
2.88	4.279	64.253
2.944	4.223	64.412
3.008	4.191	64.917
3.072	4.131	65.479
3.152	4.157	66.198
3.216	4.093	66.808
3.28	4.076	67.489
3.344	4.046	68.384
3.408	4.163	69.305
3.472	4.23	70.284
3.552	4.265	71.254
3.616	4.315	72.317
3.68	4.382	73.383
3.744	5.414	74.084
3.808	9.005	74.463
3.888	13.231	74.729
3.952	17.251	75.165
4.016	21.101	77.427
4.08	24.446	96.77
4.144	25.602	109.323
