mass8_36
t	x	y
8.832	135.531	-104.226
8.895	132.133	-94.034
8.975	129.464	-83.842
9.039	125.581	-74.621
9.103	122.427	-64.186
9.167	118.787	-53.994
9.231	116.36	-44.287
9.295	115.632	-36.522
9.375	109.323	-32.882
9.439	98.16	-34.823
9.503	98.645	-34.338
9.567	103.013	-32.639
9.632	106.896	-29.97
9.711	111.264	-27.058
9.775	115.875	-24.874
9.839	120.728	-21.962
9.903	124.611	-18.322
9.967	129.221	-15.167
10.032	133.104	-11.769
10.111	138.443	-8.857
10.175	142.811	-4.489
10.239	146.208	-1.82
10.303	148.15	-1.335
10.367	145.238	-7.159
10.447	140.384	-15.41
10.511	135.774	-21.719
10.575	131.405	-29.484
10.639	127.765	-35.551
10.703	124.125	-41.618
10.767	119.029	-48.17
10.847	115.147	-53.994
10.911	111.507	-60.303
10.975	106.168	-67.098
11.039	103.498	-72.437
11.103	99.858	-77.533
11.183	96.461	-81.901
11.247	92.336	-87.482
11.311	87.725	-91.608
11.375	84.328	-95.248
11.439	80.688	-101.557
11.503	77.048	-103.984
11.583	73.165	-108.109
11.647	69.525	-112.235
11.711	64.914	-115.875
