mass8_15
t	x	y
2.48	37.007	-112.235
2.544	20.506	-104.712
2.608	4.004	-98.645
2.672	-3.276	-96.218
2.736	-9.585	-95.248
2.816	-16.38	-95.005
2.88	-22.932	-94.762
2.944	-29.727	-93.306
3.008	-36.764	-90.637
3.072	-43.802	-89.424
3.152	-50.111	-88.453
3.216	-58.119	-87.24
3.28	-64.186	-85.056
3.344	-71.709	-83.114
3.408	-79.232	-80.688
3.472	-79.96	-78.746
3.552	-76.32	-77.533
3.616	-71.466	-74.863
3.68	-68.069	-73.407
3.744	-64.186	-71.709
3.808	-60.546	-69.767
3.888	-56.178	-66.855
3.952	-52.295	-63.458
4.016	-48.413	-60.789
4.08	-45.258	-59.333
4.144	-41.86	-56.663
4.208	-38.463	-53.266
4.288	-34.095	-49.626
4.352	-30.94	-46.714
4.416	-29.242	-45.258
4.48	-26.087	-40.404
4.544	-18.564	-31.911
4.624	-10.556	-20.506
4.688	-1.335	-9.828
4.752	7.887	2.063
4.816	14.924	11.284
4.88	23.903	24.874
4.96	30.94	32.882
5.024	40.162	45.501
5.088	47.442	56.906
5.152	54.722	69.282
5.216	63.458	79.474
5.28	71.466	92.093
5.36	78.746	103.256
5.424	85.784	113.205
