mass8_37
t	x	y
9.103	120.243	108.595
9.167	116.603	105.197
9.231	111.507	101.8
9.295	106.896	98.645
9.375	100.829	95.976
9.439	96.704	92.578
9.503	90.637	89.909
9.567	85.784	86.754
9.632	80.93	83.842
9.711	75.834	82.386
9.775	70.495	79.96
9.839	65.885	78.018
9.903	61.031	75.592
9.967	55.935	73.407
10.032	51.082	71.951
10.111	46.957	70.253
10.175	41.618	68.311
10.239	36.279	66.855
10.303	31.668	64.671
10.367	26.087	62.487
10.447	20.991	60.789
10.511	14.924	59.333
10.575	9.828	59.09
10.639	5.945	57.877
10.703	0.121	57.149
10.767	-4.975	55.45
10.847	-10.556	54.479
10.911	-15.167	54.237
10.975	-20.02	53.994
11.039	-25.602	52.053
11.103	-31.183	52.053
11.183	-36.764	51.81
11.247	-42.588	52.295
11.311	-48.413	52.295
11.375	-53.509	52.053
11.439	-59.818	51.325
11.503	-65.642	52.295
11.583	-71.951	52.538
11.647	-78.746	52.538
11.711	-85.784	53.509
11.775	-91.608	52.538
11.839	-96.461	53.751
11.919	-104.226	55.45
11.983	-111.749	55.45
12.047	-118.787	56.421
12.111	-125.824	56.663
12.175	-131.891	57.877
12.239	-138.928	59.333
12.319	-144.267	58.605
12.383	-149.12	56.178
12.447	-151.79	55.207
12.511	-146.208	57.634
12.575	-135.774	60.303
12.655	-124.368	63.943
12.719	-113.691	68.069
12.783	-102.77	72.922
12.847	-93.549	76.32
12.911	-85.056	78.504
12.991	-82.386	75.834
13.055	-84.328	70.495
13.119	-86.512	65.885
13.183	-88.453	60.546
13.247	-90.88	55.207
13.311	-92.821	49.869
13.391	-95.49	45.015
13.455	-97.674	41.375
13.519	-100.344	36.764
13.583	-102.77	31.911
13.647	-104.469	28.756
13.727	-98.16	35.551
13.791	-88.453	43.316
13.855	-80.93	50.111
13.919	-73.407	58.362
13.983	-65.642	65.642
