mass8_43
t	x	y
12.111	-63.339	95.871
12.175	-47.457	83.787
12.239	-32.757	72.414
12.319	-18.106	61.961
12.383	-3.417	50.792
12.447	10.33	40.557
12.511	24.18	30.515
12.575	37.796	21.083
12.655	50.678	11.803
12.719	63.524	2.678
12.783	76.263	-6.316
12.847	88.373	-14.577
12.911	100.957	-22.681
12.991	111.377	-29.51
13.055	104.681	-19.731
13.119	97.767	-9.811
13.183	90.649	0.402
13.247	83.736	10.776
13.311	76.665	21.437
13.391	69.844	32.212
13.455	62.69	43.057
13.519	55.664	54.092
13.583	48.579	65.333
13.647	40.99	77.37
13.727	33.558	88.752
13.791	26.415	100.36
