mass8_26
t	x	y
6.624	-139.414	-20.263
6.688	-121.456	-7.401
6.752	-103.498	4.732
6.832	-85.056	17.594
6.895	-67.583	30.212
6.96	-50.354	41.86
7.024	-34.095	45.501
7.088	-15.652	43.316
7.167	0.849	40.89
7.231	16.623	38.706
7.295	29.727	35.308
7.36	26.087	32.154
7.424	23.175	24.388
7.488	23.175	16.623
7.567	28.756	9.585
7.632	37.492	3.033
7.695	45.501	-2.548
7.76	53.994	-9.585
7.824	62.245	-15.895
7.903	70.01	-22.204
7.967	77.048	-27.786
8.032	84.57	-32.639
8.095	91.608	-37.492
8.16	99.858	-41.86
8.224	105.925	-45.743
8.303	113.933	-50.839
8.367	120.971	-54.965
8.432	128.493	-59.575
8.495	135.046	-62.002
8.56	142.811	-63.215
8.639	155.672	-61.759
